"Timestamp per 10 seconds",FastAPI,Springboot,Express
"22:11:00","20.48%","0.82%","0.35%"
"22:11:10","20.74%","0.80%","0.35%"
"22:11:20","20.83%","0.20%","0.37%"
"22:11:30","20.72%","0.18%","0.37%"
"22:11:40","20.55%","0.22%","0.37%"
"22:11:50","20.56%","0.21%","0.37%"
"22:12:00","20.77%","0.21%","0.37%"
"22:12:10","20.83%","0.17%","10.20%"
"22:12:20","20.44%","0.16%","28.19%"
"22:12:30","23.67%","0.15%","28.19%"
"22:12:40","38.33%","0.15%","23.29%"
"22:12:50","37.06%","91.37%","23.58%"
"22:13:00","41.95%","91.37%","23.58%"
"22:13:10","41.95%","80.80%","24.52%"
"22:13:20","41.66%","43.32%","24.12%"
"22:13:30","42.35%","31.69%","23.19%"
"22:13:40","41.64%","33.69%","23.19%"
"22:13:50","42.14%","28.66%","24.25%"
"22:14:00","41.90%","28.58%","23.10%"
"22:14:10","41.73%","26.98%","23.85%"
"22:14:20","41.95%","29.37%","23.85%"
"22:14:30","42.73%","29.37%","23.85%"
"22:14:40","42.64%","22.31%","24.30%"
"22:14:50","42.64%","24.82%","27.79%"
"22:15:00","42.07%","31.85%","27.79%"
"22:15:10","41.80%","26.58%","24.35%"
"22:15:20","41.95%","26.28%","25.09%"
"22:15:30","39.98%","26.28%","25.38%"
"22:15:40","39.98%","26.68%","25.38%"
"22:15:50","43.34%","25.36%","22.54%"
"22:16:00","41.79%","28.23%","22.54%"
"22:16:10","39.49%","25.00%","23.93%"
"22:16:20","38.92%","23.23%","28.47%"
"22:16:30","40.63%","24.25%","24.72%"
"22:16:40","41.68%","25.38%","24.72%"
"22:16:50","42.18%","28.07%","25.36%"
"22:17:00","42.04%","30.08%","25.12%"
"22:17:10","42.03%","23.55%","25.12%"
"22:17:20","41.77%","23.55%","27.47%"
"22:17:30","41.77%","22.12%","25.38%"
"22:17:40","41.77%","25.92%","25.38%"
"22:17:50","42.00%","22.38%","25.38%"
"22:18:00","41.65%","22.38%","24.90%"
"22:18:10","41.98%","24.13%","26.67%"
"22:18:20","41.52%","20.18%","26.67%"
"22:18:30","41.73%","9.60%","26.07%"
"22:18:40","42.09%","9.60%","26.07%"
"22:18:50","41.94%","9.60%","24.26%"
"22:19:00","41.80%","3.29%","24.12%"
"22:19:10","42.44%","0.15%","24.12%"
"22:19:20","42.41%","0.08%","26.81%"
"22:19:30","42.41%","0.08%","26.81%"
"22:19:40","40.14%","0.12%","24.76%"
"22:19:50","40.01%","0.58%","27.84%"
"22:20:00","41.83%","0.54%","27.84%"
"22:20:10","41.54%","0.08%","28.32%"
"22:20:20","42.02%","0.09%","25.64%"
"22:20:30","41.07%","0.10%","25.64%"
"22:20:40","41.67%","0.08%","25.93%"
"22:20:50","41.80%","0.08%","30.55%"
"22:21:00","41.43%","0.08%","26.18%"
"22:21:10","42.40%","0.28%","26.18%"
"22:21:20","42.22%","0.08%","27.47%"
"22:21:30","41.95%","0.08%","27.47%"
"22:21:40","41.88%","0.08%","29.75%"
"22:21:50","41.82%","0.09%","29.75%"
"22:22:00","41.82%","0.09%","29.23%"
"22:22:10","42.07%","0.08%","29.23%"
"22:22:20","42.24%","0.08%","24.46%"
"22:22:30","42.73%","0.07%","24.46%"
"22:22:40","42.73%","0.09%","22.74%"
"22:22:50","41.51%","0.08%","22.50%"
"22:23:00","39.18%","0.12%","27.38%"
"22:23:10","37.91%","0.07%","26.77%"
"22:23:20","41.45%","0.10%","26.77%"
"22:23:30","41.45%","0.10%","28.05%"
"22:23:40","41.85%","0.10%","28.05%"
"22:23:50","41.67%","0.18%","26.08%"
"22:24:00","42.27%","0.18%","26.08%"
"22:24:10","41.26%","0.08%","27.32%"
"22:24:20","41.26%","0.14%","27.87%"
"22:24:30","42.66%","0.08%","29.44%"
"22:24:40","41.95%","0.09%","29.44%"
"22:24:50","41.95%","0.09%","29.44%"
"22:25:00","41.79%","0.08%","25.84%"
"22:25:10","42.16%","0.08%","25.84%"
"22:25:20","42.21%","0.09%","32.61%"
"22:25:30","42.21%","0.08%","28.23%"
"22:25:40","41.71%","0.17%","28.23%"
"22:25:50","42.34%","0.33%","28.23%"
"22:26:00","42.80%",null,"29.96%"
"22:26:10","42.80%",null,"29.96%"
"22:26:20","37.98%",null,"29.62%"
"22:26:30","37.55%",null,"29.62%"
"22:26:40","41.80%",null,"24.03%"
"22:26:50","41.48%",null,"23.58%"
"22:27:00","41.62%",null,"23.58%"
"22:27:10","40.70%",null,"25.60%"
"22:27:20","41.81%",null,"25.60%"
"22:27:30","41.72%",null,"25.44%"
"22:27:40","41.10%",null,"25.41%"
"22:27:50","41.10%",null,"25.41%"
"22:28:00","42.17%",null,"25.95%"
"22:28:10","41.52%",null,"24.30%"
"22:28:20","41.69%",null,"24.30%"
"22:28:30","41.55%",null,"23.57%"
"22:28:40","41.29%",null,"22.22%"
"22:28:50","41.57%",null,"22.22%"
"22:29:00","41.57%",null,"3.80%"
"22:29:10","41.47%",null,"1.18%"
"22:29:20","42.73%",null,"1.18%"
"22:29:30","40.53%",null,"0.68%"
"22:29:40","40.70%",null,"0.74%"
"22:29:50","41.18%",null,"0.74%"
"22:30:00","40.42%",null,"0.70%"
"22:30:10","40.39%",null,"0.67%"
"22:30:20","40.15%",null,"0.67%"
"22:30:30","40.26%",null,"0.65%"
"22:30:40","21.60%",null,"0.66%"
"22:30:50","21.38%",null,"0.66%"
"22:31:00","21.39%",null,"0.70%"
"22:31:10","21.27%",null,"1.36%"
"22:31:20","21.23%",null,"1.36%"
