"Timestamp per 10 seconds",Springboot,Express,FastAPI
"00:53:00","0.12%","0.38%","20.77%"
"00:53:10","0.21%","0.36%","22.65%"
"00:53:20","0.21%","0.36%","24.22%"
"00:53:30","50.79%","0.36%","39.62%"
"00:53:40","43.93%","10.22%","40.37%"
"00:53:50","0.12%","27.32%","40.37%"
"00:54:00","0.12%","27.32%","40.21%"
"00:54:10","0.20%","10.49%","40.19%"
"00:54:20","0.13%","0.86%","39.76%"
"00:54:30","0.17%","0.72%","39.76%"
"00:54:40","0.31%","0.68%","33.27%"
"00:54:50","1.09%","0.68%","21.46%"
"00:55:00",null,"0.68%","21.39%"
"00:55:10",null,"0.63%","21.43%"
"00:55:20",null,"0.63%","21.42%"
