"Timestamp per 10 seconds",FastAPI,Springboot,Express
"22:38:30","20.82%","0.15%","0.35%"
"22:38:40","20.88%","0.19%","0.33%"
"22:38:50","20.80%","0.19%","0.32%"
"22:39:00","20.76%","0.58%","0.33%"
"22:39:10","21.24%","0.58%","18.27%"
"22:39:20","32.00%","0.17%","24.61%"
"22:39:30","41.43%","12.41%","24.31%"
"22:39:40","41.43%","22.30%","23.33%"
"22:39:50","40.91%","94.37%","23.33%"
"22:40:00","41.13%","85.87%","23.71%"
"22:40:10","41.29%","62.03%","23.26%"
"22:40:20","41.05%","62.03%","24.06%"
"22:40:30","41.13%","33.03%","23.07%"
"22:40:40","41.13%","27.55%","23.20%"
"22:40:50","41.08%","27.55%","23.66%"
"22:41:00","41.03%","31.20%","23.35%"
"22:41:10","41.03%","31.66%","22.94%"
"22:41:20","41.03%","29.03%","23.17%"
"22:41:30","40.97%","26.03%","23.77%"
"22:41:40","40.97%","25.58%","23.77%"
"22:41:50","40.90%","20.42%","23.49%"
"22:42:00","40.92%","17.67%","23.21%"
"22:42:10","41.38%","17.67%","22.97%"
"22:42:20","40.92%","5.11%","23.64%"
"22:42:30","41.70%","0.13%","23.40%"
"22:42:40","41.70%","0.13%","23.52%"
"22:42:50","41.39%","0.11%","23.12%"
"22:43:00","40.59%","1.37%","24.14%"
"22:43:10","40.96%",null,"23.90%"
"22:43:20","41.22%",null,"23.90%"
"22:43:30","41.13%",null,"24.09%"
"22:43:40","40.88%",null,"23.60%"
"22:43:50","41.21%",null,"23.66%"
"22:44:00","41.37%",null,"23.89%"
"22:44:10","41.26%",null,"23.36%"
"22:44:20","41.03%",null,"23.41%"
"22:44:30","41.20%",null,"23.94%"
"22:44:40","41.16%",null,"23.94%"
"22:44:50","41.16%",null,"23.77%"
"22:45:00","41.33%",null,"23.48%"
"22:45:10","41.37%",null,"24.99%"
"22:45:20","41.20%",null,"24.71%"
"22:45:30","40.86%",null,"23.31%"
"22:45:40","40.86%",null,"23.22%"
"22:45:50","41.09%",null,"23.32%"
"22:46:00","41.12%",null,"22.83%"
"22:46:10","41.12%",null,"22.03%"
"22:46:20","41.12%",null,"22.03%"
"22:46:30","41.49%",null,"22.73%"
"22:46:40","40.79%",null,"7.06%"
"22:46:50","40.79%",null,"6.81%"
"22:47:00","41.07%",null,"1.10%"
"22:47:10","41.10%",null,"0.65%"
"22:47:20","41.45%",null,"0.63%"
"22:47:30","40.65%",null,"0.63%"
"22:47:40","40.62%",null,"0.63%"
"22:47:50","41.19%",null,"0.63%"
"22:48:00","41.21%",null,"0.66%"
"22:48:10","41.21%",null,"0.66%"
"22:48:20","41.21%",null,"0.64%"
"22:48:30","40.88%",null,"0.64%"
"22:48:40","40.60%",null,"0.64%"
"22:48:50","40.57%",null,"0.64%"
"22:49:00","40.61%",null,"0.64%"
"22:49:10","40.80%",null,"0.63%"
"22:49:20","40.65%",null,"0.63%"
"22:49:30","40.65%",null,"0.63%"
"22:49:40","40.41%",null,"0.66%"
"22:49:50","35.87%",null,"0.66%"
"22:50:00","35.47%",null,"0.65%"
"22:50:10","21.43%",null,"0.65%"
"22:50:20","21.58%",null,"0.64%"
"22:50:30","21.43%",null,"0.66%"
"22:50:40","21.29%",null,"0.65%"
"22:50:50","21.54%",null,"0.66%"
