"Timestamp per 10 seconds",FastAPI,Springboot,Express
"22:11:00","195.45MB","355.63MB","72.21MB"
"22:11:10","195.69MB","355.50MB","72.21MB"
"22:11:20","195.62MB","355.61MB","72.41MB"
"22:11:30","195.57MB","355.61MB","72.50MB"
"22:11:40","195.45MB","355.83MB","72.99MB"
"22:11:50","196.51MB","355.92MB","72.99MB"
"22:12:00","196.20MB","355.93MB","72.99MB"
"22:12:10","195.67MB","356.09MB","233.72MB"
"22:12:20","196.09MB","356.17MB","438.64MB"
"22:12:30","282.15MB","356.24MB","438.64MB"
"22:12:40","466.36MB","356.28MB","639.42MB"
"22:12:50","467.00MB","2.00GB","1.00GB"
"22:13:00","623.41MB","2.00GB","1.00GB"
"22:13:10","623.41MB","2.32GB","1.08GB"
"22:13:20","615.30MB","2.34GB","1,005.21MB"
"22:13:30","1.47GB","2.32GB","913.96MB"
"22:13:40","1.47GB","2.32GB","913.96MB"
"22:13:50","1.44GB","2.44GB","1.13GB"
"22:14:00","1.44GB","2.44GB","1.32GB"
"22:14:10","1.36GB","2.46GB","1.41GB"
"22:14:20","1.31GB","2.45GB","1.41GB"
"22:14:30","1.72GB","2.45GB","1.41GB"
"22:14:40","1.71GB","2.72GB","1.56GB"
"22:14:50","1.71GB","2.73GB","1.59GB"
"22:15:00","1.68GB","2.97GB","1.59GB"
"22:15:10","1.61GB","2.97GB","1.55GB"
"22:15:20","1.61GB","3.05GB","1.48GB"
"22:15:30","1.48GB","3.05GB","1.48GB"
"22:15:40","1.48GB","3.10GB","1.48GB"
"22:15:50","1.45GB","3.13GB","1.35GB"
"22:16:00","1.44GB","3.13GB","1.35GB"
"22:16:10","1.41GB","3.13GB","1.77GB"
"22:16:20","1.41GB","3.13GB","1.62GB"
"22:16:30","1.37GB","3.14GB","1.57GB"
"22:16:40","1.84GB","3.14GB","1.57GB"
"22:16:50","1.68GB","3.14GB","1.65GB"
"22:17:00","1.66GB","3.13GB","1.66GB"
"22:17:10","1.64GB","3.13GB","1.66GB"
"22:17:20","1.60GB","3.13GB","1.66GB"
"22:17:30","1.59GB","3.13GB","1.74GB"
"22:17:40","1.59GB","3.13GB","1.74GB"
"22:17:50","1.59GB","3.14GB","1.74GB"
"22:18:00","3.31GB","3.14GB","1.91GB"
"22:18:10","2.64GB","3.16GB","1.67GB"
"22:18:20","2.64GB","3.15GB","1.67GB"
"22:18:30","2.61GB","3.08GB","1.55GB"
"22:18:40","2.55GB","3.08GB","1.55GB"
"22:18:50","2.55GB","3.08GB","1.54GB"
"22:19:00","2.55GB","3.03GB","1.87GB"
"22:19:10","2.56GB","3.03GB","1.87GB"
"22:19:20","2.34GB","3.03GB","1.94GB"
"22:19:30","2.34GB","3.03GB","1.94GB"
"22:19:40","2.07GB","3.01GB","1.99GB"
"22:19:50","2.01GB","2.97GB","1.99GB"
"22:20:00","2.07GB","2.97GB","1.99GB"
"22:20:10","2.07GB","2.97GB","1.91GB"
"22:20:20","2.05GB","2.97GB","2.15GB"
"22:20:30","1.90GB","2.97GB","2.15GB"
"22:20:40","1.90GB","2.97GB","2.30GB"
"22:20:50","3.22GB","2.97GB","2.22GB"
"22:21:00","3.22GB","2.97GB","2.28GB"
"22:21:10","5.67GB","2.97GB","2.28GB"
"22:21:20","3.40GB","2.97GB","2.25GB"
"22:21:30","3.30GB","2.97GB","2.25GB"
"22:21:40","3.30GB","2.97GB","2.15GB"
"22:21:50","3.05GB","2.97GB","2.15GB"
"22:22:00","3.05GB","2.97GB","2.02GB"
"22:22:10","2.86GB","2.97GB","2.02GB"
"22:22:20","2.76GB","2.97GB","1.75GB"
"22:22:30","2.76GB","2.97GB","1.75GB"
"22:22:40","2.76GB","2.97GB","2.11GB"
"22:22:50","2.30GB","2.97GB","2.11GB"
"22:23:00","2.17GB","2.97GB","2.35GB"
"22:23:10","2.17GB","2.97GB","2.35GB"
"22:23:20","2.26GB","2.97GB","2.35GB"
"22:23:30","2.26GB","2.97GB","2.32GB"
"22:23:40","2.24GB","2.97GB","2.32GB"
"22:23:50","1.99GB","2.97GB","2.38GB"
"22:24:00","1.99GB","2.97GB","2.38GB"
"22:24:10","2.53GB","2.97GB","2.41GB"
"22:24:20","2.53GB","2.97GB","2.52GB"
"22:24:30","4.16GB","2.97GB","2.43GB"
"22:24:40","4.13GB","2.97GB","2.43GB"
"22:24:50","4.13GB","2.97GB","2.43GB"
"22:25:00","3.38GB","2.97GB","2.50GB"
"22:25:10","3.34GB","2.97GB","2.50GB"
"22:25:20","3.32GB","2.97GB","2.39GB"
"22:25:30","3.32GB","2.97GB","2.41GB"
"22:25:40","2.67GB","2.97GB","2.41GB"
"22:25:50","2.22GB","2.97GB","2.41GB"
"22:26:00","2.22GB",null,"2.36GB"
"22:26:10","2.22GB","178.90MB","2.36GB"
"22:26:20","2.16GB","178.90MB","2.18GB"
"22:26:30","2.16GB","332.46MB","2.18GB"
"22:26:40","3.29GB","328.77MB","1.97GB"
"22:26:50","3.29GB","328.77MB","1.95GB"
"22:27:00","3.19GB","329.32MB","1.95GB"
"22:27:10","2.17GB","328.67MB","1.83GB"
"22:27:20","2.17GB","329.16MB","1.83GB"
"22:27:30","4.23GB","329.16MB","1.83GB"
"22:27:40","4.23GB","329.04MB","1.73GB"
"22:27:50","4.23GB","329.22MB","1.73GB"
"22:28:00","8.12GB","329.75MB","1.66GB"
"22:28:10","3.43GB","329.75MB","1.50GB"
"22:28:20","3.26GB","329.90MB","1.50GB"
"22:28:30","3.26GB","329.79MB","1.42GB"
"22:28:40","3.10GB","329.93MB","1.30GB"
"22:28:50","2.88GB","330.00MB","1.30GB"
"22:29:00","2.88GB","330.00MB","1.30GB"
"22:29:10","2.59GB","330.20MB","380.36MB"
"22:29:20","2.59GB","330.41MB","380.36MB"
"22:29:30","2.42GB","330.57MB","375.61MB"
"22:29:40","2.18GB","330.57MB","374.72MB"
"22:29:50","2.10GB","330.69MB","374.72MB"
"22:30:00","1.96GB","330.76MB","374.00MB"
"22:30:10","1.96GB","330.84MB","373.76MB"
"22:30:20","1.96GB","330.91MB","373.76MB"
"22:30:30","1.64GB","330.96MB","374.68MB"
"22:30:40","1.63GB","331.04MB","374.13MB"
"22:30:50","1.63GB","331.05MB","374.13MB"
"22:31:00","1.63GB","331.05MB","374.79MB"
"22:31:10","1.62GB","331.18MB","407.09MB"
"22:31:20","1.62GB","331.24MB","407.09MB"
"22:31:30","1.62GB","331.29MB","407.46MB"
"22:31:40","1.60GB","331.43MB","407.46MB"
"22:31:50","1.60GB","331.43MB","407.46MB"
