"Timestamp per 10 seconds",FastAPI,Springboot,Express
"22:38:30","384.98MB","491.07MB","71.91MB"
"22:38:40","384.98MB","582.24MB","71.94MB"
"22:38:50","389.17MB","2.66GB","72.14MB"
"22:39:00","417.46MB","2.80GB","72.21MB"
"22:39:10","454.66MB","3.14GB","313.70MB"
"22:39:20","604.80MB","3.14GB","421.29MB"
"22:39:30","648.20MB","3.13GB","420.64MB"
"22:39:40","648.20MB","3.11GB","613.73MB"
"22:39:50","655.00MB","3.11GB","613.73MB"
"22:40:00","901.45MB","3.12GB","695.96MB"
"22:40:10","901.45MB","3.12GB","587.03MB"
"22:40:20","901.45MB","3.13GB","565.14MB"
"22:40:30","901.26MB","3.11GB","544.60MB"
"22:40:40","863.96MB","3.12GB","744.40MB"
"22:40:50","853.45MB","3.10GB","794.62MB"
"22:41:00","852.89MB","3.02GB","819.72MB"
"22:41:10","1.00GB","3.02GB","817.38MB"
"22:41:20","1.01GB","2.98GB","821.86MB"
"22:41:30","1.01GB","2.98GB","816.56MB"
"22:41:40","1.01GB","2.98GB","816.56MB"
"22:41:50","1,005.36MB","2.98GB","821.16MB"
"22:42:00","989.13MB","2.98GB","916.98MB"
"22:42:10","989.05MB",null,"999.95MB"
"22:42:20","978.99MB",null,"912.14MB"
"22:42:30","978.93MB",null,"779.82MB"
"22:42:40","928.73MB",null,"824.04MB"
"22:42:50","928.84MB",null,"824.97MB"
"22:43:00","925.57MB",null,"1,002.87MB"
"22:43:10","1.01GB",null,"1.09GB"
"22:43:20","1,016.39MB",null,"1.09GB"
"22:43:30","1,016.93MB",null,"1.09GB"
"22:43:40","968.14MB",null,"1.02GB"
"22:43:50","968.14MB",null,"948.57MB"
"22:44:00","968.83MB",null,"950.30MB"
"22:44:10","1.46GB",null,"884.20MB"
"22:44:20","1.44GB",null,"1.00GB"
"22:44:30","1.29GB",null,"1.07GB"
"22:44:40","1.29GB",null,"1.07GB"
"22:44:50","1.23GB",null,"1.07GB"
"22:45:00","1.18GB",null,"1.20GB"
"22:45:10","1.18GB",null,"1.09GB"
"22:45:20","1.13GB",null,"1.09GB"
"22:45:30","1.13GB",null,"1.03GB"
"22:45:40","1.11GB",null,"996.48MB"
"22:45:50","1.11GB",null,"996.61MB"
"22:46:00","1.18GB",null,"952.87MB"
"22:46:10","1.13GB",null,"878.27MB"
"22:46:20","1.23GB",null,"878.27MB"
"22:46:30","1.19GB",null,"831.77MB"
"22:46:40","1.15GB",null,"651.33MB"
"22:46:50","1.15GB",null,"621.85MB"
"22:47:00","1.10GB",null,"230.34MB"
"22:47:10","1.51GB",null,"222.85MB"
"22:47:20","1.51GB",null,"223.23MB"
"22:47:30","1.30GB",null,"223.23MB"
"22:47:40","1.27GB",null,"223.32MB"
"22:47:50","1.27GB",null,"223.32MB"
"22:48:00","1.22GB",null,"224.02MB"
"22:48:10","1.12GB",null,"223.82MB"
"22:48:20","1.12GB",null,"223.70MB"
"22:48:30","1.12GB",null,"224.04MB"
"22:48:40","1.07GB",null,"223.88MB"
"22:48:50","933.72MB",null,"223.92MB"
"22:49:00","934.03MB",null,"223.24MB"
"22:49:10","932.65MB",null,"223.41MB"
"22:49:20","931.76MB",null,"223.75MB"
"22:49:30","931.77MB",null,"223.75MB"
"22:49:40","931.66MB",null,"223.68MB"
"22:49:50","929.15MB",null,"223.52MB"
"22:50:00","928.41MB",null,"223.72MB"
"22:50:10","925.89MB",null,"223.33MB"
"22:50:20","925.66MB",null,"222.93MB"
"22:50:30","925.66MB",null,"223.35MB"
"22:50:40","924.60MB",null,"223.92MB"
"22:50:50","924.88MB",null,"224.19MB"
